id,ten_dia_diem,mo_ta,loai_dia_diem,khu_vuc,dia_chi,tu_khoa,thoi_gian_hoat_dong,gia_ve,danh_gia,hinh_anh,Latitude,Longitude
11,Saigon Garden,"là một tổ hợp thương mại độc đáo nằm ngay trên phố đi bộ Nguyễn Huệ, trung tâm Quận 1, Thành phố Hồ Chí Minh. Khác biệt với những trung tâm thương mại truyền thống, Saigon Garden mang đến một không gian xanh mát, yên bình giữa lòng đô thị náo nhiệt, giống như một ""khu vườn"" thu nhỏ với kiến trúc độc đáo.",Tổ hợp thương mại,Quận 1,"99 Nguyễn Huệ, phường Bến Nghé, Quận 1","không gian xanh, mua sắm, thư giãn, café",10:00 - 22:00,Miễn phí,4.1,https://www.invert.vn/media/uploads/uploads/26213809-9-saigon-garden-riverside-village.png,10.7734087,106.7038889
12,Công viên 23 Tháng 9 ,"là một công viên đô thị lớn nằm ngay trung tâm Quận 1, Thành phố Hồ Chí Minh, Việt Nam. Đây là một không gian xanh quan trọng, đóng vai trò như ""lá phổi xanh"" của thành phố, đồng thời mang ý nghĩa lịch sử sâu sắc và là điểm giao thông, văn hóa, giải trí sôi động.",Công viên,Quận 1,"Phạm Ngũ Lão, phường Phạm Ngũ Lão, Quận 1","công viên, thể thao, thư giãn, không gian xanh",5:00 - 21:00,Miễn phí,3.9,https://static.vinwonders.com/2023/02/september-23rd-park-1.jpg,10.7687114,106.69234
13,Family Garden,"là một điểm đến độc đáo mang phong cách ""nông trại gia đình"" giữa lòng đô thị sầm uất của Thành phố Hồ Chí Minh. Nơi đây được biết đến như một ""hòn ngọc nông thôn"" hay ""Chiang Mai thu nhỏ"" của Sài Gòn, mang đến không gian xanh mát và nhiều hoạt động trải nghiệm gần gũi với thiên nhiên.",Khu vui chơi/Nông trại,Quận 2,"Đường Nguyễn Duy Trinh, phường Bình Trưng Tây, Quận 2","nông trại, thiên nhiên, gia đình, trải nghiệm",8:00 - 17:00,50.000 - 100.000,4,https://laz-img-sg.alicdn.com/p/b3af032bda8922afb0c1805b96c772e0.jpg,10.8055691,106.738025
14,Saigon Outcast ," là một không gian cộng đồng - giải trí - văn hóa nghệ thuật độc đáo và rất ""chất"" tại Thành phố Hồ Chí Minh. Nơi đây được biết đến như một tụ điểm của giới trẻ, những người yêu nghệ thuật đường phố, và cả cộng đồng người nước ngoài sinh sống tại Sài Gòn.",Bar/Không gian văn hóa,Quận 2,"411 Võ Văn Kiệt, phường Cô Giang, Quận 1","bar, nghệ thuật, âm nhạc, cộng đồng",16:00 - 01:00,Miễn phí vào (phí đồ uống),4.2,https://mia.vn/media/uploads/blog-du-lich/saigon-outcast-4-1704680232.jpg,10.8169107,106.7297632
15,Vincom Mega Mall Thảo Điền,"là một trong những trung tâm thương mại (TTTM) quy mô lớn và hiện đại bậc nhất tại Thành phố Hồ Chí Minh. Nơi đây không chỉ là điểm đến mua sắm mà còn là tổ hợp giải trí, ẩm thực, đáp ứng mọi nhu cầu của cư dân và du khách, đặc biệt là cộng đồng người nước ngoài sinh sống tại Thảo Điền.",Trung tâm thương mại,Quận 2,"159 Xa lộ Hà Nội, phường Thảo Điền, Quận 2","mua sắm, ẩm thực, giải trí, rạp chiếu phim",10:00 - 22:00,Miễn phí vào TTTM,4.4,https://statics.vincom.com.vn/vincom-tttm/gioi_thieu/anh_bai_viet/DJI_0819_resize.jpg,10.8023796,106.7409716
16,Công viên Sala,"là một trong những công viên đô thị hiện đại và đẳng cấp bậc nhất tại Thành phố Hồ Chí Minh. Nơi đây được thiết kế không chỉ là một không gian xanh mát mà còn là điểm nhấn kiến trúc, mang đến trải nghiệm sống xanh, đẳng cấp cho cư dân và du khách.",Công viên,Quận 2,"Khu đô thị Sala, đường Nguyễn Cơ Thạch, phường An Lợi Đông, TP.Thủ Đức","công viên hiện đại, kiến trúc, không gian xanh, sống xanh",4:00 - 23:00,Miễn phí,4.6,http://khudothisala.vn/wp-content/uploads/2015/04/cong-vien-Sala-2.jpg,10.7721778,106.7246327
17,Công viên hầm Thủ Thiêm,"một không gian công cộng đã trở thành điểm đến ""hot"" của giới trẻ và người dân Thành phố Hồ Chí Minh, đặc biệt là vào buổi chiều tối.",Công viên,TP.Thủ Đức,"Đường Nguyễn Cơ Thạch, phường An Lợi Đông, TP.Thủ Đức","giới trẻ, chiều tối, không gian công cộng, trendy",5:00 - 22:00,Miễn phí,4.3,https://toplist.vn/images/800px/cong-vien-ham-thu-thiem-1028268.jpg,10.7703473,106.7098527
18,Đảo Kim Cương,"khu vui chơi nghỉ dưỡng có 1-0-2 ngay trung tâm thành phố. Đây là một hòn đảo tự nhiên và duy nhất tại Sài Gòn, nơi bạn có thể tạm gác lại hết mọi mệt mỏi để hòa mình vào không gian thiên nhiên xanh mát với nhiều hoạt động như ngắm hoàng hôn, thả diều, tổ chức tiệc, dạo bộ quanh các khu vườn,... ",Khu nghỉ dưỡng,TP.Thủ Đức,"Số 1 đường Trần Quý Kien, phường Bình Trưng Tây, TP.Thủ Đức","đảo tự nhiên, hoàng hôn, thả diều, thiên nhiên, nghỉ dưỡng",6:00 - 22:00,Miễn phí tham quan khu vực công cộng,4.4,https://saigonrealestate.vn/wp-content/uploads/2022/05/phoi-canh-Dao-Kim-Cuong-Diamond-Island-Quan-2.jpg,10.7787522,106.746685
19,Khu tổ hợp BLOQ,"Khu tổ hợp được thiết kế vô cùng độc đáo theo phong cách thùng container Hàn Quốc với tông trắng chủ đạo. Bên trong còn có rất nhiều cửa hàng quần áo, quán cà phê, quán ăn đa dạng ẩm thực từ nhiều nước trên thế giới như Thái Lan, Mexico, Hàn Quốc,... ",Tổ hợp thương mại,TP.Thủ Đức,"39 Đường số 7, phường Bình Trưng Tây, TP.Thủ Đức","container, Hàn Quốc, ẩm thực quốc tế, shopping",10:00 - 22:00,Miễn phí vào khu,4.2,https://disaigon.com/wp-content/uploads/2023/02/the-BLQQ-khong-gian.jpg,10.8045288,106.7394266
20,Hồ bơi Kỳ Đồng Quận 3,"là một trong những địa điểm bơi lội công cộng được nhiều người dân và du khách ưa chuộng. Nơi đây nổi bật với không gian rộng rãi, thoáng đãng và chất lượng dịch vụ ổn định.",Hồ bơi công cộng,Quận 3,"28 Kỳ Đồng, phường 9, Quận 3","bơi lội, thể thao, công cộng, giải trí",5:30 - 21:00,30.000 - 50.000 VNĐ,3.8,https://dayboihieptam.com/wp-content/uploads/2021/07/dayboihieptam.com_-10.jpg,10.7805614,106.6807936
21,Công viên Lê Thị Riêng ,"là một trong những công viên lớn và đa năng nhất tại Thành phố Hồ Chí Minh, tọa lạc tại Quận 10. Nơi đây không chỉ là một không gian xanh quan trọng mà còn là khu vui chơi giải trí sầm uất, thu hút đông đảo người dân và du khách",Công viên,Quận 10,"34 Lê Thị Riêng, phường Bến Thành, Quận 1","công viên lớn, giải trí, không gian xanh, đa năng",5:00 - 21:00,Miễn phí,4,http://cdn-i.vtcnews.vn/files/thy.hue/2017/03/29/img_10961-0007.jpg,10.7851478,106.6647487
22, Hồ Con Rùa,hồ xinh xắn giữa lòng Sài Gòn luôn tấp nập người qua lại mỗi chiều tan ca đến tối. Đây là nơi để các nhóm bạn trẻ tụ tập với nhau hay các cặp đôi hẹn hò. Nhiều bố mẹ cũng cho con ra đây chơi vào buổi chiều tối để thưởng thức những món ăn vặt siêu ngon.,Hồ công viên,Quận 3,"Phường Võ Thị Sáu, Quận 3","hẹn hò, ăn vặt, giới trẻ, chiều tối",24/7,Miễn phí,4.1,https://cdn3.ivivu.com/2022/10/hồ-con-rùa-ivivu-12.jpg,10.7826608,106.695915
23,Nhà thờ Tân Định ," là một trong những nhà thờ Công giáo lớn và lâu đời nhất tại Sài Gòn. Nơi đây nổi tiếng với kiến trúc Gothic Pháp độc đáo và đặc biệt là màu hồng nổi bật, khiến nó trở thành một biểu tượng kiến trúc và điểm đến du lịch không thể bỏ qua.",Nhà thờ,Quận 3,"289 Hai Bà Trưng, phường Võ Thị Sáu, Quận 3","nhà thờ hồng, Gothic, kiến trúc Pháp, tôn giáo","5:30 - 11:30, 14:00 - 21:00",Miễn phí,4.5,https://cdn.justfly.vn/1200x1500/media/202107/08/1625731016-nha-tho-tan-dinh-sai-gon-12.jpg,10.7883359,106.6906789
24,Lẩu cá kèo Bà Huyện,"Lẩu cá ở đây có hương vị thơm ngọt độc đáo, nước lẩu đậm đà vừa ăn. Ngoài lẩu thì quán còn có món cá kèo nước cũng hấp dẫn không kém, bạn có thể gọi thêm ăn cùng lẩu",Nhà hàng,Quận 3,"127/16 Cô Giang, phường Cô Giang, Quận 1","lẩu cá kèo, ẩm thực địa phương, đặc sản",16:00 - 23:00,80.000 - 150.000 VNĐ/người,4.3,https://melamine.vn/wp-content/uploads/2023/11/Gioi-thieu-chung-ve-quan-Lau-ca-keo-Ba-Huyen-Thanh-Quan-883x1024.png,10.7780212,106.6869046
25,Bún mọc Ròm Mập Quận 3,"Quán có không gian thoáng đãng và sạch sẽ. Bạn có thể thưởng thức các món như bún mọc chả, bún sườn mọc chả đều có cảm giác vô cùng lạ miệng. Nét nổi bật trong các món bún ở đây chính là mọc với sự hòa quyện của giò sống và nấm mèo vo viên chiên vàng hoặc hấp chín.",Nhà hàng,Quận 3,"160A Cống Quỳnh, phường Phạm Ngũ Lão, Quận 1","bún mọc, ẩm thực truyền thống, mọc đặc biệt",6:00 - 22:00,35.000 - 55.000 VNĐ/tô,4.2,https://1phutsaigon.vn/wp-content/uploads/2024/02/bun-moc-rom-map-868727.jpg,10.7695146,106.6838554
26,Phá lấu Kỳ Đồng Quận 3 Sài Gòn,"là quán vỉa hè nhưng phá lấu ở đây vô cùng ngon và sạch sẽ, những miếng lòng, gan thơm lừng mà không hề còn mùi tanh hòa quyện với nước dùng béo béo vô cùng đưa miệng. 
",Quán ăn vỉa hè,Quận 3,"Đường Kỳ Đồng, phường 9, Quận 3","phá lấu, đường phố, ẩm thực vỉa hè",16:00 - 24:00,25.000 - 40.000 VNĐ,4,https://kenh14cdn.com/thumb_w/660/2018/3/16/pha-lau-thuongmomosfoodwold-15211717892268727703.jpg,10.7820445,106.6816878
27,Bánh tráng trộn chú Viên,"lựa chọn bánh tráng với nhiều loại topping khác nhau, có thể ăn tại quán hoặc mang về đều được.",Quán ăn vặt,Quận 3,"Đường Kỳ Đồng, phường 9, Quận 3","bánh tráng trộn, ăn vặt, topping đa dạng",15:00 - 23:00,15.000 - 25.000 VNĐ,3.9,https://disaigon.com/wp-content/uploads/2023/01/Banh-trang-tron-chu-vien-noi-tieng-khap-Sai-Gon.jpg,10.771095,106.6860263
28,Chanchamayo Coffee,"Quán khá rộng với menu đa dạng từ coffee đến sinh tố, nước ép và có cả những món ăn nhẹ nữa. Đến đây, bạn sẽ được thư thái trò chuyện cùng bạn bè trong không gian ấm cúng, xinh đẹp",Quán café,Quận 3,"23 Kỳ Đồng, phường 9, Quận 3","coffee, sinh tố, không gian ấm cúng, thư giãn",7:00 - 23:00,25.000 - 65.000 VNĐ,4.1,https://tripzone.vn/uploads/202104/15/13/213246-kh-ng-gian-b-n-trong---ngu--n-fb.chanchamayo-coffee--.jpg,10.780762,106.6899808
29,Cầu Mống Quận 4,"thu hút đông đảo các bạn trẻ với nhiều hoạt động sôi nổi như chụp hình check-in, ngắm bình minh hay hoàng hôn vô cùng đẹp, hẹn hò lãng mạn hay thưởng thức những món ăn ở các gánh hàng rong.
",Cầu/Điểm tham quan,Quận 4,"Cầu Mống, phường 18, Quận 4","check-in, hoàng hôn, bình minh, giới trẻ, lãng mạn",24/7,Miễn phí,4.2,https://maisonoffice.vn/wp-content/uploads/2024/04/6-hoat-dong-check-in-cau-mong-duoc-gioi-tre-sai-gon-yeu-thich.jpg,10.7681105,106.703653
30,Bến Nhà Rồng," là một công trình kiến trúc lịch sử và là biểu tượng quan trọng của Thành phố Hồ Chí Minh. Nơi đây không chỉ là một di tích lịch sử mà còn là một bảo tàng ý nghĩa, thu hút hàng triệu lượt khách tham quan mỗi năm.",Bảo tàng/Di tích,Quận 4,"1 Nguyễn Tất Thành, phường 12, Quận 4","lịch sử, bảo tàng, di tích, Bác Hồ","7:30 - 11:30, 13:30 - 17:00",15.000 VNĐ,4.3,https://vietnamstamp.com.vn/media/lib/1264_1TGTPhongcanh03BnNhRng.jpg,10.7681666,106.7068662
31,Chợ Xóm Chiếu Quận 4,"Là một trong những địa điểm ăn uống, vui chơi sầm uất nhất nhì Sài Gòn, chợ Xóm Chiếu luôn thu hút đông đảo du khách với những món ăn vặt hấp dẫn. Nằm ở địa phận 92B/20 Tôn Thất Thuyết, Phường 16, Quận 4, TP. Hồ Chí Minh, bạn có thể dễ dàng tìm thấy đường đi và thỏa thích thưởng thức những món ăn như phá lấu, bánh tráng trộn, các loại chè,....","Chợ, Ẩm thực đường phố",Quận 4,"92B/20 Tôn Thất Thuyết, P.16, Quận 4","ẩm thực, chợ, món ăn vặt",06:00 - 22:00,Miễn phí,4.4,https://dulich3mien.vn/wp-content/uploads/2022/01/cho-xom-chieu-2.jpg,10.7635635,106.7060311
32,Khu vui chơi Kizciti Quận 4,"là “tụ điểm” dành cho những bạn nhỏ với muôn vàn trò chơi thú vị giúp các bé đóng vai vào các nghề nghiệp như phi công, bác sĩ, công an, lính cứu hỏa, người mẫu,…",Khu vui chơi trẻ em,Quận 4,"Công viên Khánh Hội, Đường số 48, Q.4","trẻ em, giải trí, giáo dục",08:00 - 17:00,90.000 VNĐ,4.2,https://khuvuichoi.com/wp-content/uploads/2020/07/cong-cong-vien-nuoc.jpg,10.7580987,106.698859
33,Công viên Khánh Hội Quận 4,"là một không gian thoáng đãng, trong lành và mát mẻ thu hút không chỉ người dân ở khu vực mà cả những du khách",Công viên,Quận 4,"Đường số 48, Phường 5, Quận 4","công viên, thư giãn, cây xanh",05:00 - 21:00,Miễn phí,4.3,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/03_2022/cong-vien-cat-quan-4-mot.jpg,10.7572321,106.6985583
34,phố Bích Họa,"Những bức tranh mô phỏng cảnh sắc tươi đẹp của phố phường, hình thù lạ mắt với nhiều màu sắc nổi bật. Nhờ đó mà bức tường lạnh lẽo trước đây đã trở lên vui nhộn, bắt mắt hơn.",Nghệ thuật đường phố,Quận 4,"Hẻm 64 Nguyễn Khoái, Phường 2, Quận 4","bích họa, nghệ thuật, sống ảo",Cả ngày,Miễn phí,4.5,https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2022/9/20/1095552/Tranh-Tuong-Ngo-Xom--01.jpg,21.0383994,105.8467477
35,tàu Sài Gòn,"mang đến những trải nghiệm vô cùng thú vị như ăn tối lênh đênh trên sông, đi thuyền dạo chơi trên sông và đặc biệt là ngắm thành phố lung linh về đêm. Tàu mở cửa từ sáng tới tối, tùy vào sở thích và muốn trải nghiệm dịch vụ ",Dịch vụ du lịch,Quận 4,"Bến Bạch Đằng, Quận 1 (đi qua Q.4)","du thuyền, sông Sài Gòn, ẩm thực",17:30 - 22:00,300.000 VNĐ+,4.6,https://divui.com/content/images/thumbs/0022148_an-toi-tren-tau-sai-gon-ben-tau-khu-du-lich-tan-cang.jpeg,10.7669542,106.7082494
36,Con đường ốc Vĩnh Khánh ,Ở đây có rất rất nhiều quán ốc với menu đa dạng cho bạn thỏa thích niềm đam mê với món ăn dân dã,Khu ẩm thực,Quận 4,"Đường Vĩnh Khánh, Quận 4, TP.HCM","ốc, hải sản, ăn uống, Sài Gòn",Từ 16:00 đến khuya,Miễn phí,4.5,"https://img.tripi.vn/cdn-cgi/image/width=700,height=700/https://gcs.tripi.vn/public-tripi/tripi-feed/img/472188Kig/kham-pha-quan-4-top-8-diem-den-thu-vi-ban-khong-the-bo-lo_10",10.7613933,106.7026953
37,Phố người Hoa Quận 5,"khu phố có nhiều người Hoa sinh sống nhất tại Sài Gòn để trải nghiệm nền văn hóa Trung Hoa, tinh túy ẩm thực nổi tiếng tại đây bạn nhé! Khu phố người Hoa Quận 5 sẽ khiến cho bao du khách cảm thấy thực sự rất bất ngờ mỗi khi ghé thăm.",Khu phố văn hóa,Quận 5,"Quận 5, TP.HCM","người Hoa, văn hóa, ẩm thực Trung Hoa",Cả ngày,Miễn phí,4.7,https://ticotravel.com.vn/wp-content/uploads/2023/05/chinatown-quan-5-4.jpg,10.7524372,106.6679015
38,Phố đèn lồng Lương Nhữ Học Quận 5," là một trong những điểm vui chơi Sài Gòn về đêm nổi tiếng nhất Sài thành. Bởi nơi đây có những dãy phố bán hàng ngàn chiếc đèn lồng với nhiều màu sắc khác nhau. Vào những dịp lễ Tết hay Trung Thu, khu phố này sẽ trở nên rất náo nhiệt và sôi động.","Phố đêm, điểm tham quan",Quận 5,"Đường Lương Nhữ Học, Quận 5, TP.HCM","đèn lồng, Trung Thu, lễ Tết, phố đêm",Từ 17:00 đến 22:00,Miễn phí,4.6,https://mia.vn/media/uploads/blog-du-lich/pho-long-den-16-1725615652.jpg,10.7530336,106.6599837
39,chợ Thủ Đô Quận 5,"là “thiên đường” ăn uống của Sài thành. Tới đây, bạn sẽ được trải nghiệm trọn “bộ sưu tập” ẩm thực ngon - bổ - rẻ cực kỳ nổi tiếng như: gỏi cuốn, súp cua, há cảo, khổ qua cà ớt, chè sương sa hạt lựu,... ",Chợ ẩm thực,Quận 5,"Chợ Thủ Đô, Quận 5, TP.HCM","ẩm thực, ăn vặt, chợ, Sài Gòn",Từ 08:00 đến 22:00,Miễn phí,4.4,https://thanhnien.mediacdn.vn/Uploaded/minhgiao/2022_05_04/1h-7035.jpg,10.7537493,106.657451
40,Bowling Parkson Hùng Vương,"có thể mua sắm, trải nghiệm ẩm thực, chơi các trò điện tử đa dạng phù hợp với mọi lứa tuổi. Đặc biệt, ở Parkson Hùng Vương có môn thể thao Bowling tại sân Powerbowl 388 với dịch vụ và chất lượng khá tốt. ","Khu giải trí, trung tâm thương mại",Quận 5,"Parkson Hùng Vương, Quận 5, TP.HCM","bowling, trò chơi, giải trí, mua sắm",09:00 - 22:00,Khoảng 50.000đ - 100.000đ/trò,4.3,https://dayboivietnam.com/wp-content/uploads/review-ho-boi-parkson-hung-vuong-quan-5-dia-chi-hinh-anh-gia-ve.jpg,10.7645959,106.6557035
41,Chùa Bà Thiên Hậu,"Ngôi cổ tự sở hữu lối kiến trúc Trung Hoa độc đáo, từ những họa tiết chạm khắc tinh xảo trên mái đến từng hiện vật, câu đối khắc trên cột chùa đều mang đậm nét văn hóa của người Hoa",Di tích lịch sử / Chùa,Quận 5,"710 Nguyễn Trãi, Phường 11, Quận 5, TP.HCM","chùa, kiến trúc Trung Hoa, tôn giáo, văn hóa người Hoa",6:00 - 18:00,Miễn phí,4.5,https://www.chudu24.com/wp-content/uploads/2022/12/145822779_441886163526674_2370524384831662491_n.jpg,10.7532583,106.6611736
42,The Garden Mall,"Không chỉ thu hút khách du lịch bởi nhiều khu ẩm thực mà nơi đây còn sở hữu những khu vui chơi, mua sắm sôi động như: ẩm thực, khu mua sắm, giải trí, vườn thần thoại hồng hạc...",Trung tâm thương mại,Quận 5,"190 Hồng Bàng, Phường 12, Quận 5, TP.HCM","mua sắm, giải trí, ẩm thực, trung tâm thương mại",9:00 - 22:00,Miễn phí,4.2,"https://www.holidify.com/images/cmsuploads/compressed/1280px-The_Garden,_Hanoi_06_20190621001635.jpg",10.7546489,106.6569997
43,Chợ An Đông,"Chợ An Đông là cụm chợ đầu mối lớn chuyên kinh doanh các loại quần áo chất lượng, đa dạng mẫu mã, bắt kịp xu hướng thời trang mới nhất.",Chợ / Trung tâm thương mại,Quận 5,"An Dương Vương, Phường 9, Quận 5, TP.HCM","thời trang, mua sắm, chợ đầu mối, hàng hóa",6:00 - 18:00,Miễn phí,4.1,https://ik.imagekit.io/tvlk/blog/2023/07/cho-dong-ba-1.jpg?tr=dpr-2.5,10.7581989,106.6722817
44,The Common Project,"Địa điểm được nhiều bạn trẻ yêu thích với tổ hợp quán bar, quán cafe ngoài trời, mang đến trải nghiệm sống xanh, không khí trong lành giữa thành phố.",Khu tổ hợp / Giải trí,Quận 5,"Nguyễn Trãi, Phường 3, Quận 5, TP.HCM","giải trí, sống xanh, cafe ngoài trời, thư giãn",8:00 - 23:00,Tùy dịch vụ,4.3,https://mir-s3-cdn-cf.behance.net/projects/404/8a8e07152489955.Y3JvcCwxOTE3LDE1MDAsNDIsMA.jpg,10.7657815,106.69069
45,Phố người Hoa,"Phố người Hoa là nơi sinh sống lâu đời của cộng đồng người Hoa với nét văn hóa đặc trưng, kiến trúc cổ và không gian mang đậm chất Trung Hoa.",Khu phố / Văn hóa,Quận 5,"Khu vực đường Trần Hưng Đạo, Hải Thượng Lãn Ông, Quận 5, TP.HCM","người Hoa, văn hóa Trung Hoa, kiến trúc cổ, khu phố",24/7,Miễn phí,4.4,https://zestart.vn/wp-content/uploads/2018/12/ki-hoa-phong-canh-ky-hoa-sai-gon-11.jpg,10.7524372,106.6679015
